channel,coverage_pct,unique_count,exact_change_count,exact_change_pct,meaningful_change_count,median_constant_run_rows,longest_constant_run_rows,median_constant_run_seconds,longest_constant_run_seconds,median,p01,p99,zero_pct,negative_pct,outlier_count,notes
GS_ROP,99.97,1,0,0.0,0,15.0,9980,62.985,77801.04,10.2600002064,10.2600002064,10.2600002064,0.0,0.0,0,"MAD=0.0000, Tol=0.0001. Functionally constant."
GS_SWOB,99.97,1,0,0.0,0,15.0,9980,62.985,77801.04,0.0,0.0,0.0,99.97,0.0,0,"MAD=0.0000, Tol=0.0001. Functionally constant."
GS_RPM,99.89,5,19,0.19020923015316848,19,3.0,4541,9.029,21577.968,0.0,0.0,0.0,99.69,0.0,0,"MAD=0.0000, Tol=0.0001."
GS_TQA,95.84,116,1634,17.04924874791319,1634,1.0,2549,0.0,12113.971,0.0199996705558365,-0.289999968422448,0.209999930381154,1.24,10.979999999999999,0,"MAD=0.0000, Tol=0.0001."
GS_SPPA,99.97,643,9092,90.94728418525557,6203,1.0,413,0.0,1966.982,112.999997493662,-236.999987299446,34695.999143069,0.0,45.22,245,"MAD=141.0000, Tol=7.0500."
GS_TFLO,99.97,18,28,0.28008402520756226,28,1.0,7664,0.0,40140.058,0.0,-22138.1796882184,0.0,97.89999999999999,1.9,0,"MAD=0.0000, Tol=0.0001."
GS_HKLD,95.84,576,9050,94.42821368948246,9050,1.0,269,0.0,1268.957,64.8845437683312,62.05646215100141,71.28336534450187,0.0,0.0,1219,"MAD=0.3671, Tol=0.0184."
GS_BPOS,99.97,874,1021,10.213063919175752,867,1.0,2922,0.0,13886.985,1.000000032,0.0,58.0499991144,25.22,0.0,4056,"MAD=1.0000, Tol=0.0500."
GS_DBTM,99.99,5,4,0.040004000400040006,4,1539.0,3982,7323.9985,41212.022,2.3000000736,1.8200001192,2557.8200685,0.0,0.0,4016,"MAD=0.4800, Tol=0.0240."
GS_DMEA,100.0,1,0,0.0,0,10000.0,10000,78254.985,78254.985,2591.0600587128,2591.0600587128,2591.0600587128,0.0,0.0,0,"MAD=0.0000, Tol=0.0001. Functionally constant."
GS_DVER,100.0,1,0,0.0,0,10000.0,10000,78254.985,78254.985,2439.5000000352,2439.5000000352,2439.5000000352,0.0,0.0,0,"MAD=0.0000, Tol=0.0001. Functionally constant."
