channel,coverage_pct,unique_count,temporal_continuity_median_run,num_changes,usability_score
GS_SPPA,99.97,643,15.0,9095,28.228180070860745
GS_HKLD,95.84,576,843.0,9054,27.806144740635027
GS_TQA,95.84,116,843.0,1636,24.385241154742268
GS_BPOS,99.97,874,15.0,1024,23.861895783145016
GS_TFLO,99.97,18,15.0,31,16.928471805599454
GS_RPM,99.89,5,406.0,20,16.078044875446846
GS_DBTM,99.99,5,4999.5,5,13.582518938456111
GS_SWOB,99.97,1,15.0,1,0.0
GS_ROP,99.97,1,15.0,1,0.0
GS_DMEA,100.0,1,10000.0,1,0.0
GS_DVER,100.0,1,10000.0,1,0.0
