,GS_ROP,GS_SWOB,GS_RPM,GS_TQA,GS_SPPA,GS_TFLO,GS_HKLD,GS_BPOS,GS_DBTM,GS_DMEA,GS_DVER
GS_ROP,,,,,,,,,,,
GS_SWOB,,,,,,,,,,,
GS_RPM,,,1.0,-0.01973701971428833,-0.0033108749228901485,0.0041233966040649965,-0.06425677398307242,0.013167530858539075,0.03779168967999805,,
GS_TQA,,,-0.01973701971428833,1.0,0.0020000211185306764,-0.0019154230323967063,0.027298442966002236,1.8671357316998273e-05,-0.003843441284274024,,
GS_SPPA,,,-0.0033108749228901485,0.0020000211185306764,1.0,0.01141194162933512,-0.03591616758172897,0.2136273771562112,-0.09613103495376281,,
GS_TFLO,,,0.0041233966040649965,-0.0019154230323967063,0.01141194162933512,1.0,0.037798917691495494,0.09525838959913725,-0.15923047994451672,,
GS_HKLD,,,-0.06425677398307242,0.027298442966002236,-0.03591616758172897,0.037798917691495494,1.0,-0.09090457618832089,-0.16327001472082323,,
GS_BPOS,,,0.013167530858539075,1.8671357316998273e-05,0.2136273771562112,0.09525838959913725,-0.09090457618832089,1.0,-0.02703798484522026,,
GS_DBTM,,,0.03779168967999805,-0.003843441284274024,-0.09613103495376281,-0.15923047994451672,-0.16327001472082323,-0.02703798484522026,1.0,,
GS_DMEA,,,,,,,,,,,
GS_DVER,,,,,,,,,,,
